Date,AL,AK,FL,GA,LA,MS,OK,SC,TN,TX
May-84,10.4,10.1,6.6,6,9.5,10.9,6.9,6.6,9.1,6.2
Jun-84,10.3,9.9,6.6,6,9.6,11,6.9,6.5,9,6.1
Jul-84,10.3,9.8,6.5,6,9.7,11.1,7,6.6,8.9,6.1
Aug-84,10.2,9.7,6.5,6,9.8,11.2,7,6.6,8.8,6.1
Sep-84,10.1,9.5,6.5,6,10,11.1,7,6.7,8.7,6.1
Oct-84,10,9.4,6.4,6,10.3,11,7,6.7,8.6,6.2
Nov-84,9.8,9.3,6.4,6,10.5,10.8,7,6.7,8.5,6.2
Dec-84,9.6,9.3,6.4,6.1,10.8,10.7,7.1,6.6,8.4,6.3
Jan-85,9.5,9.3,6.3,6.2,11,10.6,7.2,6.5,8.4,6.4
Feb-85,9.3,9.4,6.3,6.3,11.2,10.6,7.3,6.2,8.4,6.5
Mar-85,9.1,9.6,6.3,6.4,11.3,10.7,7.4,6.2,8.4,6.6
Apr-85,8.9,9.7,6.3,6.5,11.4,10.7,7.5,6.4,8.4,6.7
May-85,8.6,9.7,6.3,6.6,11.5,10.7,7.4,6.6,8.3,6.8
Jun-85,8.4,9.7,6.3,6.6,11.5,10.7,7.4,6.8,8.3,6.9
Jul-85,8.3,9.6,6.2,6.5,11.6,10.7,7.4,7,8.2,6.9
Aug-85,8.3,9.6,6.1,6.3,11.6,10.8,7.3,7,8.2,6.9
Sep-85,8.2,9.5,6,6.2,11.6,10.8,7.3,6.9,8.1,6.9
Oct-85,8.3,9.5,5.9,6,11.6,10.8,7.3,6.8,8.1,6.9
Nov-85,8.4,9.6,5.9,5.9,11.7,10.9,7.3,6.7,8.1,6.9
Dec-85,8.5,9.8,5.8,5.8,11.7,11,7.4,6.6,8.1,7
Jan-86,8.7,10.2,5.8,5.8,11.9,11.3,7.6,6.6,8.1,7.1
Feb-86,8.9,10.6,5.8,5.8,12,11.5,8.1,6.6,8.2,8.8
Mar-86,9.1,10.9,5.9,5.9,12.2,11.8,8.3,6.6,8.2,9
Apr-86,9.2,11.2,5.9,5.9,12.3,12.1,8.6,6.5,8.1,9.1
May-86,9.2,11.4,5.9,6,12.4,12.2,8.8,6.3,8,9.2
Jun-86,9.1,11.5,5.9,6,12.4,12.3,8.9,6.2,8,9.2
Jul-86,9.1,11.4,5.9,5.9,12.5,12.3,8.8,6.1,7.9,9.2
Aug-86,9.1,11.3,5.9,5.9,12.6,12.2,8.7,6,7.9,9.2
Sep-86,9.1,11.1,5.9,5.9,12.7,12.2,8.7,5.9,7.9,9.3
Oct-86,9.1,11,5.9,5.8,12.7,12.1,8.6,5.9,7.9,9.3
Nov-86,9,10.9,5.8,5.8,12.8,12,8.5,6,7.8,9.3
Dec-86,8.9,10.8,5.8,5.8,12.7,11.8,8.3,6,7.7,9.2
Jan-87,8.7,10.7,5.7,5.7,12.6,11.6,8.2,6,7.5,9.1
Feb-87,8.5,10.7,5.7,5.7,12.4,11.4,8.1,6,7.4,9
Mar-87,8.3,10.7,5.6,5.6,12.2,11.1,8,5.8,7.3,8.9
Apr-87,8,10.6,5.5,5.5,12,10.8,7.8,5.6,7.2,8.8
May-87,7.7,10.5,5.5,5.4,11.8,10.6,7.7,5.2,7,8.7
Jun-87,7.5,10.3,5.4,5.4,11.6,10.4,7.4,4.9,6.8,8.5
Jul-87,7.3,10.1,5.3,5.4,11.5,10.3,7.2,4.8,6.6,8.4
Aug-87,7.2,9.9,5.3,5.5,11.5,10.1,7.1,4.7,6.5,8.3
Sep-87,7.2,9.8,5.3,5.5,11.5,10,7.1,4.8,6.4,8.3
Oct-87,7.2,9.6,5.3,5.6,11.5,9.8,7.1,5,6.3,8.2
Nov-87,7.1,9.5,5.3,5.6,11.4,9.5,7,5,6.2,8.1
Dec-87,7.1,9.3,5.3,5.7,11.3,9.2,7,5,6.1,8
Jan-88,7,9.2,5.3,5.7,11.2,8.9,6.9,5,6.1,7.9
Feb-88,6.9,9.1,5.3,5.7,11.1,8.6,6.8,4.9,6,7.8
Mar-88,6.8,9,5.3,5.7,10.9,8.3,6.7,4.8,6,7.7
Apr-88,6.8,9,5.3,5.7,10.8,8.2,6.5,4.7,5.9,7.6
May-88,6.8,8.9,5.2,5.7,10.7,8.2,6.6,4.6,5.9,7.5
Jun-88,6.7,8.8,5.2,5.6,10.5,8.3,6.4,4.6,5.9,7.4
Jul-88,6.8,8.7,5.2,5.5,10.4,8.5,6.4,4.5,5.9,7.3
Aug-88,6.8,8.6,5.2,5.4,10.3,8.7,6.5,4.5,5.9,7.3
Sep-88,6.9,8.5,5.3,5.4,10.2,8.9,6.4,4.5,6,7.2
Oct-88,7,8.4,5.3,5.4,10.1,9.1,6.4,4.4,5.9,7.2
Nov-88,7,8.2,5.4,5.4,9.9,9.1,6.3,4.4,5.8,7.1
Dec-88,7,7.9,5.4,5.3,9.7,9,6.2,4.3,5.7,7
Jan-89,6.9,7.5,5.4,5.3,9.5,8.9,6.2,4.2,5.5,7
Feb-89,6.8,7.2,5.5,5.3,9.2,8.7,6,4.2,5.3,6.9
Mar-89,6.7,6.9,5.5,5.4,8.9,8.5,5.9,4.2,5.2,6.8
Apr-89,6.7,6.7,5.6,5.4,8.5,8.2,5.9,4.3,5.1,6.8
May-89,6.7,6.6,5.7,5.4,8.1,8,5.8,4.4,5.1,6.8
Jun-89,6.7,6.6,5.7,5.4,7.8,7.9,5.7,4.5,5.1,6.7
Jul-89,6.7,6.7,5.7,5.3,7.4,7.7,5.6,4.7,5.2,6.7
Aug-89,6.7,6.8,5.7,5.3,7,7.6,5.5,4.8,5.2,6.6
Sep-89,6.6,6.9,5.7,5.3,6.7,7.7,5.5,4.9,5.3,6.6
Oct-89,6.5,7,5.8,5.3,6.3,7.7,5.5,5,5.3,6.6
Nov-89,6.4,7.1,5.8,5.2,6,7.8,5.6,4.9,5.3,6.6
Dec-89,6.3,7.1,5.9,5.2,5.8,7.9,5.6,4.9,5.3,6.5
Jan-90,6.3,7.1,5.9,5.1,5.6,7.9,5.6,4.7,5.2,6.5
Feb-90,6.3,7.1,5.9,5.1,5.5,7.8,5.6,4.6,5.2,6.4
Mar-90,6.3,7.1,6,5.1,5.4,7.6,5.5,4.6,5.2,6.4
Apr-90,6.3,7,6,5.1,5.3,7.5,5.5,4.6,5.2,6.4
May-90,6.3,7,6.1,5.1,5.4,7.3,5.4,4.7,5.3,6.3
Jun-90,6.3,7,6.1,5.1,5.5,7.3,5.3,4.7,5.3,6.3
Jul-90,6.3,7,6.2,5.2,5.7,7.3,5.4,4.8,5.4,6.3
Aug-90,6.3,7,6.3,5.2,6,7.4,5.5,4.8,5.5,6.3
Sep-90,6.4,7,6.4,5.3,6.2,7.6,5.7,4.9,5.6,6.4
Oct-90,6.5,7.1,6.5,5.4,6.4,7.9,5.9,5,5.8,6.5
Nov-90,6.5,7.1,6.7,5.4,6.6,8.3,6.1,5.1,6.1,6.6
Dec-90,6.6,7.2,6.8,5.5,6.7,8.6,6.3,5.3,6.3,6.7
Jan-91,6.7,7.3,7,5.5,6.8,9,6.4,5.5,6.5,6.8
Feb-91,6.8,7.5,7.1,5.5,6.9,9.2,6.4,5.7,6.6,6.9
Mar-91,6.9,7.6,7.3,5.4,6.9,9.4,6.4,5.8,6.7,7
Apr-91,6.9,7.8,7.4,5.3,7,9.4,6.2,5.9,6.8,7
May-91,6.9,8,7.5,5.2,7,9.4,6.2,6,6.7,7
Jun-91,6.8,8.2,7.6,5,7,9.2,6.1,6,6.7,7
Jul-91,6.7,8.3,7.6,4.8,6.9,8.9,6,6,6.7,6.9
Aug-91,6.6,8.5,7.7,4.7,6.9,8.6,6,6.1,6.7,6.9
Sep-91,6.6,8.7,7.8,4.6,6.8,8.3,6.1,6.2,6.7,7
Oct-91,6.6,8.9,8,4.7,6.8,8.1,6.1,6.3,6.8,7.1
Nov-91,6.7,9.1,8.2,4.7,6.9,8,6.3,6.4,6.8,7.3
Dec-91,6.8,9.2,8.3,4.8,7.1,8.1,6.4,6.5,6.8,7.4
Jan-92,6.9,9.3,8.5,4.9,7.3,8.2,6.6,6.6,6.8,7.6
Feb-92,7,9.3,8.6,7.1,7.5,8.4,6.6,6.6,6.8,7.7
Mar-92,7.1,9.3,8.6,7,7.7,8.5,6.6,6.6,6.7,7.7
Apr-92,7.1,9.2,8.6,6.9,7.8,8.6,6.4,6.6,6.6,7.7
May-92,7.1,9.2,8.6,6.9,7.9,8.7,6.4,6.6,6.5,7.7
Jun-92,7,9.1,8.6,6.8,8,8.8,6.3,6.6,6.4,7.7
Jul-92,6.9,9,8.7,6.8,8.3,8.7,6.1,6.6,6.4,7.6
Aug-92,6.8,8.8,8.7,6.7,8.2,8.6,6,6.5,6.4,7.6
Sep-92,6.7,8.7,8.7,6.7,8.1,8.3,5.9,6.5,6.3,7.5
Oct-92,6.6,8.5,7.6,6.7,7.8,8,5.9,6.6,6.3,7.5
Nov-92,6.6,8.3,7.6,6.7,7.6,7.7,5.9,6.7,6.4,7.5
Dec-92,6.7,8.1,7.6,6.6,7.8,7.5,5.9,6.9,6.4,7.5
Jan-93,6.8,8,7.5,6.5,7.6,7.4,5.9,7.1,6.4,7.5
Feb-93,6.8,7.9,7.5,6.4,7.5,7.4,6,7.3,6.3,7.5
Mar-93,6.9,7.9,7.4,6.2,7.4,7.4,6.1,7.5,6.3,7.4
Apr-93,6.9,7.8,7.4,6.1,7.4,7.3,6.1,7.6,6.3,7.3
May-93,6.9,7.8,7.3,6,7.3,7.2,6.1,7.6,6.2,7.2
Jun-93,6.8,7.7,7.3,5.9,7.3,7,6.2,7.6,6.1,7.2
Jul-93,6.7,7.6,7.2,5.8,7.3,6.8,6.1,7.4,6,7.1
Aug-93,6.6,7.6,7.1,5.8,7.3,6.6,6.1,7.2,5.8,7.1
Sep-93,6.4,7.5,7.1,5.7,7.3,6.5,6,7,5.7,7
Oct-93,6.2,7.5,7,5.7,7.5,6.5,6,6.8,5.5,7
Nov-93,6.1,7.5,7,5.6,7.6,6.6,5.9,6.7,5.5,7
Dec-93,6,7.6,7,5.6,7.7,6.7,5.9,6.7,5.4,7
Jan-94,5.9,7.6,7,5.7,7.8,6.9,6.1,6.8,5.4,7
Feb-94,5.8,7.7,7,5.7,7.9,7,6.1,6.8,5.3,7
Mar-94,5.7,7.8,7,5.6,7.9,7.1,6,6.8,5.2,6.9
Apr-94,5.5,7.7,6.9,5.4,7.8,7,5.9,6.7,5.1,6.9
May-94,5.4,7.7,6.8,5.2,7.8,6.9,5.8,6.4,5.1,6.7
Jun-94,5.3,7.6,6.7,5.1,7.7,6.7,5.7,6.2,5.1,6.6
Jul-94,5.3,7.5,6.5,5,7.6,6.6,5.6,6,5,6.5
Aug-94,5.2,7.4,6.4,4.9,7.5,6.4,5.5,5.8,5,6.5
Sep-94,5.2,7.3,6.3,4.8,7.4,6.3,5.3,5.6,5,6.3
Oct-94,5.1,7.2,6.1,4.7,7.2,6.3,5.2,5.4,4.9,6.2
Nov-94,5.1,7.2,5.9,4.6,7,6.2,5,5.2,4.8,6.1
Dec-94,5,7.1,5.8,4.5,6.9,6.2,4.8,5.1,4.8,6
Jan-95,5.1,7,5.6,4.5,6.8,6.2,4.8,4.9,4.8,6
Feb-95,5.1,7,5.6,4.4,6.8,6.2,4.6,4.9,5,6
Mar-95,5.2,7,5.6,4.5,6.8,6.3,4.6,4.9,5.1,6
Apr-95,5.3,7,5.6,4.8,6.9,6.4,4.6,4.9,5.3,6.1
May-95,5.4,7,5.7,4.8,6.9,6.5,4.6,5,5.4,6.2
Jun-95,5.4,7,5.8,4.8,6.8,6.7,4.6,5,5.5,6.2
Jul-95,5.3,7.1,5.8,4.9,6.7,6.7,4.7,5.1,5.6,6.2
Aug-95,5.3,7.1,5.8,4.9,6.6,6.7,4.7,5.1,5.6,6.2
Sep-95,5.1,7.2,5.7,4.8,6.5,6.7,4.7,5.2,5.6,6.2
Oct-95,5,7.3,5.7,4.7,6.5,6.6,4.7,5.2,5.5,6.2
Nov-95,4.8,7.4,5.6,4.7,6.5,6.5,4.6,5.2,5.5,6.1
Dec-95,4.7,7.5,5.5,4.6,6.5,6.5,4.5,5.2,5.4,6.1
Jan-96,4.6,7.6,5.5,4.5,6.5,6.5,4.5,5.3,5.4,6.1
Feb-96,4.6,7.6,5.4,4.5,6.5,6.6,4.4,5.4,5.3,6
Mar-96,4.6,7.6,5.4,4.5,6.5,6.6,4.3,5.5,5.3,6
Apr-96,4.6,7.6,5.4,4.5,6.5,6.5,4.2,5.6,5.3,5.9
May-96,4.5,7.5,5.3,4.6,6.5,6.4,4.2,5.7,5.2,5.9
Jun-96,4.5,7.4,5.4,4.4,6.4,6.3,4,5.8,5.2,5.7
Jul-96,4.4,7.3,5.3,4.6,6.3,6.1,4,5.8,5.2,5.7
Aug-96,4.3,7.3,5.3,4.5,6.3,6,3.9,5.8,5.3,5.6
Sep-96,4.3,7.3,5.2,4.5,6.2,6,4,5.7,5.4,5.6
Oct-96,4.3,7.3,5.2,4.6,6.1,6,4.1,5.7,5.5,5.6
Nov-96,4.4,7.4,5.2,4.7,6,6.1,4.2,5.6,5.6,5.6
Dec-96,4.4,7.5,5.2,4.8,5.9,6.1,4.2,5.5,5.6,5.6
Jan-97,4.4,7.5,5.2,4.8,5.9,6.1,4.2,5.4,5.6,5.7
Feb-97,4.4,7.5,5.2,4.8,5.9,6.1,4.2,5.2,5.6,5.6
Mar-97,4.4,7.5,5.2,4.8,5.9,6,4.2,5,5.5,5.6
Apr-97,4.5,7.3,5.2,4.6,5.9,5.9,4.2,4.9,5.5,5.5
May-97,4.5,7.2,5.1,4.6,5.9,5.9,4.2,4.7,5.4,5.5
Jun-97,4.5,7.1,5,4.5,5.9,5.9,4.3,4.6,5.4,5.4
Jul-97,4.5,7,5,4.4,5.8,6,4.3,4.4,5.4,5.3
Aug-97,4.5,6.9,4.9,4.3,5.7,6.1,4.3,4.2,5.4,5.3
Sep-97,4.4,6.8,4.8,4.3,5.6,6.1,4.2,3.9,5.3,5.2
Oct-97,4.2,6.7,4.8,4.2,5.4,6,4.1,3.7,5.1,5.1
Nov-97,4,6.5,4.7,4.2,5.2,5.9,3.9,3.5,4.9,5
Dec-97,3.9,6.3,4.7,4.3,5.1,5.8,3.9,3.4,4.8,5
Jan-98,3.7,6.2,4.7,4.3,5,5.7,3.9,3.3,4.7,5
Feb-98,3.7,6.1,4.7,4.3,5,5.6,4,3.2,4.6,4.9
Mar-98,3.7,6,4.6,4.3,5.1,5.5,4.1,3.2,4.5,5
Apr-98,3.7,6,4.6,4.2,5.3,5.5,4.2,3.3,4.5,4.9
May-98,3.7,6,4.6,4.2,5.5,5.4,4.4,3.4,4.4,4.9
Jun-98,3.8,6.1,4.5,4.2,5.6,5.4,4.5,3.5,4.4,4.9
Jul-98,3.9,6.2,4.5,4.2,5.7,5.4,4.6,3.7,4.5,5
Aug-98,4,6.2,4.4,4.2,5.7,5.5,4.7,3.8,4.5,5
Sep-98,4,6.2,4.4,4.1,5.5,5.5,4.6,3.8,4.5,5
Oct-98,4,6.2,4.3,4.1,5.3,5.5,4.5,3.8,4.5,5
Nov-98,4,6.2,4.2,4,5.1,5.4,4.3,3.8,4.5,4.9
Dec-98,4,6.2,4.2,3.9,4.9,5.3,4.1,3.8,4.5,4.8
Jan-99,4,6.2,4.1,3.9,4.8,5.2,4,3.8,4.4,4.7
Feb-99,4,6.2,4.1,4,4.7,5.1,3.9,3.9,4.3,4.7
Mar-99,4.1,6.2,4.1,3.9,4.6,5,3.8,3.9,4.2,4.7
Apr-99,4.1,6.2,4.1,3.9,4.5,5,3.7,4,4.2,4.7
May-99,4.2,6.2,4.1,3.8,4.6,5,3.6,4,4.1,4.7
Jun-99,4.3,6.2,4.1,3.7,4.6,5,3.6,4.1,4.1,4.8
Jul-99,4.3,6.2,4,3.8,4.7,5.1,3.5,4.2,4.1,4.8
Aug-99,4.3,6.2,3.9,3.8,4.8,5.3,3.5,4.2,4.2,4.8
Sep-99,4.3,6.2,3.9,3.7,4.8,5.4,3.5,4.2,4.2,4.8
Oct-99,4.3,6.1,3.9,3.7,4.8,5.6,3.4,4.1,4.1,4.7
Nov-99,4.2,6.1,3.8,3.6,4.7,5.7,3.4,4,4.1,4.7
Dec-99,4.1,6,3.8,3.6,4.6,5.8,3.3,3.9,4,4.6
Jan-00,4.1,6.1,3.8,3.6,4.6,5.9,3.3,3.7,3.9,4.6
Feb-00,4,6.1,3.8,3.5,4.6,5.9,3.2,3.6,3.9,4.6
Mar-00,3.9,6.1,3.8,3.6,4.7,6,3.2,3.5,3.9,4.5
Apr-00,3.9,6.2,3.9,3.5,4.8,6,3.1,3.6,3.9,4.5
May-00,3.9,6.2,3.9,3.6,4.8,5.9,3.2,3.6,3.9,4.5
Jun-00,3.9,6.2,3.9,3.5,4.9,5.8,3.2,3.7,4,4.4
Jul-00,4,6.2,3.9,3.5,5,5.7,3.2,3.6,4,4.4
Aug-00,4,6.2,3.8,3.5,5,5.6,3.2,3.6,4.1,4.3
Sep-00,4.1,6.2,3.8,3.4,5.1,5.5,3,3.5,4.1,4.2
Oct-00,4.1,6.2,3.8,3.3,5.1,5.4,3,3.4,4.1,4.2
Nov-00,4.1,6.1,3.8,3.3,5.1,5.3,2.9,3.5,4.1,4.2
Dec-00,4.1,6.1,3.8,3.3,5.2,5.2,2.8,3.7,4.1,4.2
1-Jan,4.1,6.1,3.9,3.4,5.2,5.1,2.9,4,4.1,4.2
1-Feb,4.1,6.1,4,3.5,5.2,5,2.9,4.3,4.1,4.3
1-Mar,4.2,6.1,4.1,3.6,5.1,5,3.1,4.6,4.2,4.4
1-Apr,4.2,6,4.1,3.7,5.1,4.9,3.2,4.9,4.2,4.6
1-May,4.2,6,4.3,3.7,5,5,3.3,5.1,4.3,4.7
1-Jun,4.3,6.1,4.3,3.8,5,5.1,3.5,5.3,4.5,4.9
1-Jul,4.5,6.1,4.4,3.9,5.1,5.3,3.7,5.5,4.7,5
1-Aug,4.7,6.1,4.4,4.1,5.2,5.6,3.9,5.6,4.9,5.3
1-Sep,4.9,6.2,4.6,4.2,5.5,6.1,4.1,5.7,5.1,5.4
1-Oct,5.2,6.2,5.9,4.3,5.7,6.5,4.4,5.8,5.4,5.6
1-Nov,5.3,6.3,6,4.5,5.9,6.8,4.5,5.8,5.5,5.8
1-Dec,5.4,6.4,6,4.6,5.9,7,4.6,5.9,5.7,6
2-Jan,5.4,6.5,6,4.7,5.9,7.1,4.7,5.9,5.7,6.1
2-Feb,5.4,6.6,6,4.8,5.9,7.1,4.7,5.9,5.7,6.2
2-Mar,5.3,6.8,5.9,4.9,5.8,7,4.8,6,5.6,6.3
2-Apr,5.3,6.9,5.9,4.9,5.8,6.9,4.8,5.9,5.4,6.3
2-May,5.3,7,5.8,4.9,5.8,6.7,4.8,5.9,5.3,6.4
