Month,E,A,C,H,G,,Month,E,A,C,H,G
Feb.00,119.6,123.1,151.8,184.8,110.2,,Feb.03,131.3,110.3,156,205.4,127.8
Mar.00,119.3,125.9,153.1,184.9,119.5,,Mar.03,138.3,110,156.1,207.6,131.9
Apr.00,118.8,125,153,184.2,121.6,,Apr.03,133.8,111.2,155.6,206.7,128.8
May.00,117.8,125.3,153.3,183.9,118.9,,May.03,130.1,106.1,153.9,207.2,123
Jun.00,124.8,118.3,152.3,185.8,126.9,,Jun.03,131.6,106.4,153.1,207.9,119.4
Jul.00,130.9,115.6,152.4,187.5,131.5,,Jul.03,131.4,108,153.8,208.8,118.3
Aug.00,125.1,123.1,153.2,186.8,127.9,,Aug.03,134.3,114.1,155.3,210.3,123.5
Sep.00,128.7,132.7,155.5,187.8,126,,Sep.03,142.4,120.6,157.5,208.7,140.9
Month,E,A,C,H,G,,Month,E,A,C,H,G
Oct.03,135.2,118.3,156.8,209.9,135,,Sep.06,197,116.2,170.6,241.4,206.5
Nov.03,132.7,112.8,155.9,209.5,129.4,,Oct.06,174.2,116.4,169,239.9,175.1
Dec.03,132.3,107.4,155.4,209.8,125.8,,Nov.06,173.6,112.7,167.2,239.7,170.6
Jan.04,134.4,103.3,155.2,211.9,127.3,,Dec.06,181.8,107.7,167.3,240.8,180.9
Feb.04,139,112,156.9,212.4,131.4,,Jan.07,181.975,105.458,167.6,241.419,179.613
Mar.04,137.4,119.7,159.5,214.6,136.1,,Feb.07,179.202,113.702,169.101,242.692,173.8
Apr.04,138.4,117.5,159,216.2,138.7,,Mar.07,191.671,114.281,170.811,244.042,198.332
May.04,144.9,116.1,160.1,215.6,153.3,,Apr.07,197.481,115.167,172.526,244.436,214.963
Jun.04,156.1,111,160.5,218.4,164.6,,May.07,206.794,117.628,174.383,245.293,233.4
Jul.04,154.8,107.6,159.3,218.5,158.6,,Jun.07,214.768,110.892,173.726,248.228,235.857
Aug.04,152.9,109.7,159.6,219,155,,Jul.07,213.255,105.728,172.755,249.798,231.375
Sep.04,149.3,115.3,160.2,218.2,150,,Aug.07,204.633,108.081,172.183,249.191,218.127
Oct.04,149.6,117.3,162.4,219.3,156.1,,Sep.07,200.011,115.023,173.617,247.319,211.756
Nov.04,153.2,116.2,162.9,218.4,158.7,,Oct.07,198.178,114.01,173.88,246.949,212.196
Dec.04,150.8,111,161.7,218.4,154.2,,Nov.07,211.307,110.772,175.43,247.906,233.888
Jan.05,150,111.3,161.2,221.4,147.3,,Dec.07,213.865,107.346,175.296,247.786,238.237
Feb.05,152.2,114.4,161.7,222.1,150.1,,Jan.08,217.924,104.895,175.43,248.563,238.853
Mar.05,154.4,118.8,163.3,228.5,155.2,,Feb.08,216.522,109.602,176.202,250.328,235.739
Apr.05,161.8,116.9,164.5,227.4,170.4,,Mar.08,220.181,112.728,178.566,252.586,245.733
May.05,163,117.1,164.8,224.4,171.4,,Apr.08,228.579,111.844,180.466,252.2,259.935
Jun.05,167.5,111.7,163.4,224.9,169.9,,May.08,246.402,112.882,183.881,253.161,292.904
Jul.05,176.7,110.8,164.8,227.2,183.9,,Jun.08,268.49,107.067,185.345,257.051,313.724
Aug.05,182.4,118.7,166.8,227.9,195.2,,Jul.08,275.268,106.47,186.181,259.706,317.421
Sep.05,207.6,119,171.4,226.6,239.8,,Aug.08,264.974,111.287,184.969,260.568,293.916
Oct.05,199.3,119.3,169.5,230.1,213.5,,Sep.08,245.543,119.185,185.511,258.439,277.603
Nov.05,185.5,117,167,229.3,183.3,,Oct.08,222.851,119.42,182.371,257.047,239.551
Dec.05,178.8,110.3,165.2,228.5,172,,Nov.08,191.18,115.048,175.447,254.912,176.39
Jan.06,187.3,109.4,166.8,230.6,186.8,,Dec.08,179.954,108.045,170.806,255.615,141.564
Feb.06,178.2,115,167.5,230.9,183.1,,Jan.09,178.936,106.555,170.585,256.339,139.408
Mar.06,178,120.7,168.7,233.4,184,,Feb.09,180.278,113.702,172.916,256.561,149.827
Apr.06,189.6,120,170.7,236,213.6,,Mar.09,179.791,115.284,172.523,257.491,151.877
May.06,198.9,117.1,171.9,237.8,234.1,,Apr.09,179.376,114.781,174.002,257.062,159.618
Jun.06,207.3,112.2,171.1,240.6,232.8,,May.09,185.418,114.625,175.32,256.573,177.011
Jul.06,210.2,106.2,170.7,242.1,239.3,,Jun.09,204.363,110.931,176.476,257.537,205.66
Aug.06,210.6,110.6,171.7,243.1,236.7,,Jul.09,205.72,106.906,175.333,258.912,204.143
Month,E,A,C,H,G,,Month,E,A,C,H,G
Aug.09,206.219,111.841,176.423,258.755,210.055,,,,,,,
Sep.09,204.442,121.774,178.832,256.97,208.234,,,,,,,
Oct.09,197.212,122.091,178.506,256.273,201.023,,,,,,,
Nov.09,204.724,119.304,179.414,256.464,210.955,,,,,,,
Dec.09,204.008,116.24,178.568,256.523,209.51,,,,,,,
Jan.10,208.368,112.932,178.935,257.261,215.604,,,,,,,
Feb.10,206.279,114.329,178.393,257.077,211.708,,,,,,,
Mar.10,208.152,120.792,180.368,257.82,215.371,,,,,,,
Apr.10,212.124,121.046,181.046,257.869,221.255,,,,,,,
May.10,213.949,119.508,181.199,258.555,228.58,,,,,,,
Jun.10,210.225,114.341,179.392,259.514,217.21,,,,,,,
Jul.10,209.738,111.648,179.008,260.421,214.666,,,,,,,
Aug.10,208.381,118.08,180.273,259.997,214.978,,,,,,,
Sep.10,204.88,123.337,181.036,258.871,209.693,,,,,,,
Oct.10,206.677,124.505,182.587,258.468,220.123,,,,,,,
Nov.10,211.882,123.145,183.011,258.216,229.626,,,,,,,
Dec.10,218.025,116.657,182.476,258.702,240.94,,,,,,,
,,,,,,,,,,,,
Jan.11,221.313,116.125,183.863,259.081,248.135,,,,,,,
Feb.11,223.891,119.822,185.49,259.198,251.975,,,,,,,
Mar.11,234.401,124.689,188.51,259.985,276.239,,,,,,,
Apr.11,241.571,122.438,190.342,260.194,297.447,,,,,,,
May.11,250.728,121.764,191.993,261.585,314.765,,,,,,,
Jun.11,246.529,118.863,191.025,263.038,300.57,,,,,,,
Jul.11,246.942,116.446,190.692,264.345,296.301,,,,,,,
Aug.11,242.773,124.029,192.129,264.07,295.095,,,,,,,
Sep.11,241.718,129.12,192.772,263.675,290.095,,,,,,,
Oct.11,231.151,130.489,192.254,262.854,277.757,,,,,,,
Nov.11,229.351,126.712,191.082,262.528,273.528,,,,,,,
Dec.11,223.324,120.247,189.805,261.61,264.876,,,,,,,
Jan.12,227.181,119.285,191.069,262.677,272.33,,,,,,,
Feb.12,230.974,119.832,192.473,262.504,287.1,,,,,,,
Mar.12,237.342,127.061,194.735,263.648,299.659,,,,,,,
Apr.12,239.373,127.399,195.827,263.31,309.185,,,,,,,
May.12,236.536,127.004,195.181,264.114,300.472,,,,,,,
Jun.12,232.521,122.113,192.498,265.684,281.804,,,,,,,
