Quarter,GDP252,GDP253,GDP254,GDP255,GDP256,GDP257,GDP258,GDP259,GDP260,GDP261,GDP266,GDP267,GDP268,GDP269,GDP271,GDP272,GDP274,GDP275,GDP276,GDP277,GDP278,GDP279,GDP280,GDP281,GDP282,GDP284,GDP285,GDP286,GDP287,GDP288,GDP289,GDP290,GDP291,GDP292,IPS11,IPS299,IPS12,IPS13,IPS18,IPS25,IPS32,IPS34,IPS38,IPS43,IPS307,IPS306,CES275,CES277,CES278,CES003,CES006,CES011,CES015,CES017,CES033,CES046,CES048,CES049,CES053,CES088,CES140
21,0.017379,0.026402,0.018038,0.014245,-0.0045883,-0.0024759,0.024833,0.033491,0.019489,-0.051458,-0.0066481,0.022943,0.011831,0.011596,0.011195,-0.00046622,-0.0034634,-0.0050295,-0.0006175,0.011541,0.01203,0.004833,0.012352,-0.00039694,0.025913,-0.002968,-0.0040227,-0.0017989,-0.0044844,0.00059862,-0.00046995,-0.00093987,-0.00094744,-0.00046666,0.022086,0.022441,0.025492,0.030608,0.024207,0.037723,0.024318,0.029313,0.028344,0.023419,0.033983,0.014391,0.0052751,0.0032435,0.0055456,0.0058229,0.00043896,0.014165,0.0044157,0.0053908,0.0030019,0.0065593,0.0036552,0.0053413,0.0011381,0.007154,0.0079326
22,0.018493,0.032563,0.017976,0.014045,0.023233,0.015741,0.033761,0.032405,0.034384,-0.016569,-0.0077675,0.010851,0.01266,0.015478,0.013659,0.001795,0.00021511,0.0020853,0.00056411,-0.0067907,-0.0077833,-0.0045494,-0.0098842,-0.00099035,-0.013866,0.0082061,-0.006161,0.0052151,0.010399,-0.00063883,0.0018088,0.0013686,0.0013793,0.0017966,0.0090604,0.010281,0.010426,0.021982,0.0056504,0.021838,0.027896,0.036402,0.021485,0.016817,0.02181,-0.0087878,-8.53E-05,-5.78E-05,-0.0014688,0.0099327,0.0010418,0.011547,0.0099011,0.012912,0.0055145,0.0096131,0.010062,0.0084476,0.014562,0.0052139,0.007288
23,0.0028149,-0.033267,0.003351,0.01385,0.0079563,0.007294,0.020785,0.0079399,0.028721,-0.018436,-0.014354,0.010454,0.0025773,0.0023345,0.0019361,-0.00047333,-0.0010868,0.0012399,-2.78E-05,0.0087201,0.0097858,0.005089,0.013985,-0.00039659,0.019412,0.0031768,0.0043919,-0.0081759,-0.014278,0.0005933,-0.00047716,-0.00047845,-0.00048237,-0.00047378,0.01003,0.011348,0.0033947,-0.015869,0.010989,0.025634,0.022601,0.025364,0.019256,0.016095,0.0061451,-0.0010165,-0.0078861,0.0031465,-0.0096638,0.0061498,0.0088928,0.01723,0.0038541,0.0016155,0.0071186,0.0096491,0.0085524,0.0095646,0.010055,0.0043635,0.014486
24,0.021895,0.091523,0.011513,0.009619,0.096255,0.044536,0.06487,0.049929,0.074189,0.0033979,-0.012351,0.0095106,0.015643,0.028569,0.025149,-2.01E-05,0.0030388,-0.00042761,-0.0017692,-0.0097366,-0.010146,-0.0039635,-0.012799,0.0021795,-0.022381,0.01101,0.0047868,0.0051888,0.0038095,0.0048334,-2.05E-05,-0.00047264,-0.00047646,-2.02E-05,0.038234,0.041188,0.044816,0.11273,0.017719,0.036747,0.036982,0.051603,0.024507,0.041376,0.0099059,0.0081664,0.012952,0.0030459,0.01777,0.013622,-0.00081506,0.0039264,0.016416,0.02245,0.0075748,0.009599,0.0099048,0.010033,0.012943,0.0058665,0.010077
25,0.01094,0.0019274,0.011131,0.013894,-0.00044994,0.027424,0.036634,0.067368,0.017718,0.0078838,0.0017935,0.025018,0.017894,0.0093444,0.013737,-2.00E-05,-0.0050013,0.0053356,0.0011453,0.0016674,0.0013879,0.0011222,0.0047904,-0.0017829,0.0011658,-0.025231,-0.011783,-0.002336,-1.45E-05,-0.0036997,-2.03E-05,0.00089456,0.00090141,-2.00E-05,0.019128,0.021526,0.0091126,0.028511,0.001208,0.037421,0.028187,0.034226,0.028147,0.023342,0.024608,-0.0035369,-0.0027417,-0.00018688,-0.0069534,0.0098718,-0.0062163,0.0052456,0.011389,0.016302,0.0040939,0.012158,0.013506,0.01113,0.014682,0.0059486,0.011696
26,0.016858,0.035313,0.014486,0.013704,0.035371,0.026692,0.037074,0.010311,0.053306,0.0040305,0.039459,0.027582,0.018496,0.023769,0.019042,-1.98E-05,-0.0015504,-0.0025172,-2.14E-05,-0.00033661,-0.00035053,0.00027376,-0.0048134,0.0033625,-0.0011658,0.0041189,0.010451,0.005097,0.0075045,0.0023547,-2.01E-05,-2.06E-05,-2.09E-05,-1.98E-05,0.018575,0.01921,0.0082344,0.014554,0.0058066,0.037974,0.021991,0.028529,0.021315,0.023115,-0.0029636,0.015445,-0.0051753,-0.0073725,-0.0027514,0.013968,-0.0038363,0.01264,0.015133,0.020184,0.0075373,0.011411,0.0079019,0.0098241,0.0091717,0.0070688,0.017583
27,0.028022,0.041862,0.034125,0.016341,0.0047671,0.022141,0.041861,0.044953,0.040313,-0.021914,0.027703,0.014423,0.026821,0.022605,0.023155,0.0017425,-0.00069408,-0.0028777,0.0011243,0.0095825,0.0099713,0.0022243,0.017109,-0.0069237,0.028187,-0.0047621,0.0042587,0.0049505,0.0083037,-0.0006621,0.0017555,0.0022253,0.0022422,0.001744,0.027183,0.027569,0.020255,0.029543,0.01597,0.046434,0.009471,-0.00067308,0.018884,0.018214,0.030996,0.014719,0.0037218,0.0071083,0.0026011,0.014727,0.0044378,0.023921,0.013336,0.015462,0.010111,0.011722,0.0097363,0.0082448,0.011656,0.0079361,0.016194
28,0.014523,0.047006,0.0090649,0.0091197,0.08094,0.037088,0.042837,0.02371,0.054018,0.022361,0.022304,0.012162,0.016515,0.026289,0.024374,-3.80E-05,0.0048317,0.0092618,0.00053622,-0.015533,-0.017195,-0.006703,-0.021842,0.0029655,-0.041886,0.020533,-0.0060777,-0.0079546,-0.018031,0.0058024,-3.85E-05,-0.00093695,-0.00094446,-3.80E-05,0.025263,0.027108,0.0151,0.020565,0.012842,0.04472,0.033285,0.040897,0.022574,0.030155,0.014993,0.016259,0.0011381,-0.0011794,0.0025289,0.015373,0.0013111,0.0024695,0.018577,0.024329,0.0097644,0.01214,0.0097764,0.0092868,0.0099842,0.0059395,0.016816
29,0.00256,-0.042855,0.0087481,0.012147,-0.018512,-0.013328,0.015276,-0.01969,0.03589,-0.083586,0.026247,0.0076864,0.0046688,0.0023831,0.0034752,0.0030013,0.0050743,-0.0037283,0.0022195,0.020018,0.022888,0.011397,0.023812,0.0039641,0.049889,-0.00862,0.0059127,0.001609,-0.00052562,0.0032735,0.0030234,0.0035078,0.0035341,0.0030039,0.01967,0.021315,0.010702,0.012221,0.010577,0.031434,0.023005,0.031805,0.019043,0.022767,0.01935,-0.00060419,-0.00012408,0.011701,-0.0014292,0.016185,-0.02141,0.0039386,0.019942,0.025395,0.011467,0.013542,0.010451,0.0093754,0.011234,0.0078272,0.019837
30,0.01144,0.033744,0.0068035,0.0085867,-0.009796,-0.00041938,0.011951,0.02174,0.0060009,-0.033081,0.03948,0.011672,0.0081183,0.011243,0.0063401,0.0003466,0.00042628,-0.00086554,-7.16E-05,-0.015408,-0.017398,-0.0075143,-0.019748,-0.00060082,-0.041175,0.0036227,-0.013586,0.010796,0.021716,-0.0025415,0.00034852,-0.00052404,-0.00052863,0.00034682,0.012783,0.015245,0,-0.032997,0.013685,0.03292,0.018914,0.017379,0.019726,0.014181,0.027133,0.017316,0.003504,-0.010189,0.0024474,0.010743,0.026149,0.00049123,0.012274,0.016233,0.0060461,0.011764,0.0078989,0.010559,0.010171,0.0083268,0.017124
