,C,BAC,JPM,S&P
9/2/1994,56.7531,13.7813,12.7917,470.99
9/6/1994,56.5601,13.75,12.75,471.86
9/7/1994,56.7531,13.5625,12.6667,470.96
9/8/1994,56.3671,13.5625,12.7083,473.14
9/9/1994,55.2088,13.4375,12.5,468.18
9/12/1994,54.0506,13.3125,12.2083,466.21
9/13/1994,54.4367,13.2188,12.25,467.51
9/14/1994,54.4367,13.2813,12.2917,468.8
9/15/1994,54.8228,13.3125,12.3333,474.81
9/16/1994,54.2436,13.1563,12.3333,471.19
9/19/1994,52.3133,12.75,12.0833,470.85
9/20/1994,50.962,12.375,12.0833,463.36
9/21/1994,50.1898,12.3125,12.1667,461.46
9/22/1994,50.769,12.1563,12.0833,461.27
9/23/1994,49.6107,11.8438,12,459.67
9/26/1994,50.1898,11.9688,11.875,460.82
9/27/1994,49.6107,11.875,11.8333,462.05
9/28/1994,51.5411,12,11.9167,464.84
9/29/1994,50.3829,12.3125,11.8333,462.24
9/30/1994,50.769,12.25,11.6667,462.69
10/3/1994,50.3829,12.1563,11.5417,461.74
10/4/1994,48.8386,11.8438,11.4167,454.59
10/5/1994,48.4525,11.8125,11.3333,453.52
10/6/1994,48.4525,11.75,11.3333,452.36
10/7/1994,48.6455,11.8125,11.7083,455.1
10/10/1994,49.6107,11.8438,11.9583,459.04
10/11/1994,50.769,11.9688,11.9583,465.79
10/12/1994,49.9968,12.1563,12.2917,465.47
10/13/1994,51.5411,12.2188,12.2917,467.77
10/14/1994,50.962,12.6563,12.5,469.1
10/17/1994,50.1898,12.5,12.5417,468.96
10/18/1994,50.962,12.4688,12.5417,467.66
10/19/1994,52.3133,12.5938,12.4583,470.28
10/20/1994,51.155,12.5625,12.25,466.85
10/21/1994,51.155,12.2813,12.125,464.89
10/24/1994,50.5759,11.9688,11.7917,460.83
10/25/1994,51.3481,12.0313,11.9583,461.53
10/26/1994,52.3133,12.1875,12.0833,462.62
10/27/1994,51.9272,12.2813,12.3333,465.85
10/28/1994,53.2784,12.4375,12.4583,473.77
10/31/1994,53.6645,12.375,12.6667,472.35
11/1/1994,53.8576,12.2813,12.3333,468.42
11/2/1994,53.0854,12.2813,12.1667,466.5
11/3/1994,53.0854,12.4063,12.375,467.91
11/4/1994,51.155,12.3125,12.125,462.28
11/7/1994,52.5063,12.25,12,463.07
11/8/1994,52.6993,12.2813,12.0417,465.65
11/9/1994,52.3133,12.2813,11.9583,465.4
11/10/1994,51.5411,12.2813,12,464.37
11/11/1994,51.155,12.0938,11.9583,462.35
11/14/1994,51.3481,12,12.125,466.04
11/15/1994,52.1202,11.9375,12.1667,465.03
11/16/1994,51.5411,11.875,12.125,465.6
11/17/1994,50.3829,11.625,11.875,463.56
11/18/1994,49.4177,11.3125,11.7917,461.47
11/21/1994,49.2247,11.1875,11.75,458.3
11/22/1994,47.8734,10.9375,11.4167,450.09
11/23/1994,49.0316,11.4063,12.0833,449.93
11/25/1994,49.4177,11.4375,12,452.29
11/28/1994,49.8038,11.2813,11.8333,454.16
11/29/1994,49.8038,11.25,12.25,455.17
11/30/1994,50.769,11.2188,12.125,453.69
12/1/1994,49.9968,11.1875,12.2083,448.92
12/2/1994,51.3481,11.4063,12.4583,453.3
12/5/1994,51.7341,11.375,12.6667,453.32
12/6/1994,51.3481,11.5,12.8333,453.11
12/7/1994,50.3829,11.4375,12.5833,451.23
12/8/1994,49.2247,10.9375,12.4167,445.45
12/9/1994,48.2595,11.25,12.3333,446.96
12/12/1994,48.8386,11.2813,12.4583,449.47
12/13/1994,48.4525,11.5313,12.625,450.15
12/14/1994,49.0316,11.625,12.625,454.97
12/15/1994,49.2247,11.5313,12.4583,455.34
12/16/1994,49.2247,11.5313,12.375,458.8
12/19/1994,50.5759,11.6875,12.4167,457.91
12/20/1994,49.9968,11.4688,12.375,457.1
12/21/1994,51.155,11.4063,12.25,459.61
12/22/1994,48.6455,11.125,12.2083,459.67
12/23/1994,50.1898,11.375,12.2083,459.83
12/27/1994,51.9272,11.3438,12.125,462.47
12/28/1994,51.155,11.3125,12.25,460.86
12/29/1994,50.962,11.1875,12.1667,461.16
12/30/1994,50.1898,11.2813,11.9583,459.27
1/3/1995,50.962,11.4688,12.125,459.11
1/4/1995,51.5411,11.5625,12.2917,460.71
1/5/1995,51.7341,11.625,12.4167,460.34
1/6/1995,53.2784,11.5938,12.4583,460.68
1/9/1995,53.0854,11.5938,12.5,460.83
1/10/1995,53.8576,11.7813,12.4167,461.68
1/11/1995,53.4715,11.625,12.4583,461.66
1/12/1995,53.0854,11.5938,12.375,461.64
1/13/1995,54.0506,11.9688,12.75,465.97
1/16/1995,55.7879,12.125,12.9583,469.38
1/17/1995,54.6297,11.6563,12.7917,470.05
1/18/1995,55.2088,11.6563,12.625,469.72
1/19/1995,53.8576,11.5,12.4167,466.95
1/20/1995,53.2784,11.4688,12.2083,464.78
1/23/1995,52.8924,11.375,12.4583,465.81
1/24/1995,54.0506,11.4375,12.5833,465.86
1/25/1995,55.0158,11.6563,12.7083,467.44
1/26/1995,55.4019,11.7813,12.625,468.32
1/27/1995,55.981,11.8438,12.875,470.39
1/30/1995,56.3671,11.75,12.75,468.51
1/31/1995,56.9462,11.625,12.9583,470.42
2/1/1995,57.1392,11.5313,12.875,470.4
2/2/1995,57.5253,11.6875,12.9583,472.78
2/3/1995,61,12.25,13.2083,478.64
2/6/1995,60.8069,12.5625,13.25,481.14
2/7/1995,60.4208,12.4063,13.1667,480.81
2/8/1995,60.6139,12.4063,13.3333,481.19
2/9/1995,60.4208,12.25,13.2083,480.19
2/10/1995,60.0348,12.2188,13.2917,481.46
2/13/1995,60.0348,12.2813,13.3333,481.65
2/14/1995,59.8417,12.4063,13.4167,482.55
2/15/1995,60.8069,12.5625,13.4583,484.54
2/16/1995,60.0348,12.5625,13.25,485.22
2/17/1995,59.6487,12.5,13.2917,481.97
2/21/1995,60.0348,12.4063,13.375,482.74
2/22/1995,59.8417,12.6563,13.2917,485.07
2/23/1995,60.6139,12.8438,13.3333,486.91
2/24/1995,61.386,12.7188,13.2917,488.11
2/27/1995,60.2278,12.5,13.1667,483.81
2/28/1995,60.0348,12.4688,13.375,487.39
3/1/1995,59.2626,12.3438,13.3333,485.65
3/2/1995,58.6835,12.5,13.25,485.13
3/3/1995,58.1044,12.5313,13.2083,485.42
3/6/1995,57.5253,12.4375,13.0417,485.63
3/7/1995,56.7531,12.2188,12.7083,482.12
3/8/1995,57.3322,12.25,12.5833,483.14
3/9/1995,56.7531,12.2188,12.5417,483.16
3/10/1995,58.2974,12.375,13,489.57
3/13/1995,59.0696,12.375,12.9583,490.05
3/14/1995,59.8417,12.5313,12.9583,492.89
3/15/1995,59.2626,12.5,13.0833,491.88
3/16/1995,60.6139,12.5938,13.125,495.41
3/17/1995,59.8417,12.4688,13.125,495.52
3/20/1995,59.8417,12.3125,13.125,496.15
3/21/1995,58.6835,12.0938,12.9583,495.07
3/22/1995,59.6487,12.2188,12.875,495.67
3/23/1995,59.0696,12.2813,12.9167,495.95
3/24/1995,60.2278,12.25,12.875,500.97
3/27/1995,60.6139,12.4375,12.8333,503.2
3/28/1995,60.0348,12.5625,12.875,503.9
3/29/1995,59.6487,12.7188,12.8333,503.12
3/30/1995,59.6487,12.75,12.8333,502.22
3/31/1995,59.6487,12.6875,12.5833,500.71
4/3/1995,58.8765,12.6563,12.7083,501.85
4/4/1995,60.2278,12.6875,12.875,505.24
4/5/1995,59.6487,12.8438,13.0417,505.57
4/6/1995,60.6139,13.0625,13.7083,506.08
4/7/1995,61,13.1875,13.5417,506.42
4/10/1995,61.386,13.1875,13.5,507.01
4/11/1995,61.193,13.1875,13.375,505.53
4/12/1995,61,13,13.3333,507.17
4/13/1995,60.8069,12.9375,13.375,509.23
4/17/1995,61.7721,12.75,13.5,506.13
4/18/1995,61.9652,12.625,13.9583,505.37
4/19/1995,61.193,12.625,13.75,504.92
4/20/1995,60.0348,12.4375,13.7917,505.29
4/21/1995,60.8069,12.5,13.6667,508.49
4/24/1995,63.1234,12.5625,13.9583,512.89
4/25/1995,62.7373,12.6875,14,512.1
4/26/1995,63.3164,12.7188,13.9583,512.66
4/27/1995,64.0886,12.7188,13.875,513.55
4/28/1995,63.8955,12.5,13.9167,514.71
5/1/1995,63.7025,12.4375,13.875,514.26
5/2/1995,63.3164,12.4688,13.875,514.86
5/3/1995,64.8607,12.625,14.0833,520.48
5/4/1995,65.0538,12.875,14.4583,520.54
5/5/1995,65.8259,13.1875,14.4583,520.12
