Date,CVX,XOM,AAPL,FB,MSFT,JNJ,MRK,PFE,FBIOX,FSPHX
27-Oct-16,-0.012550647,-0.001952004,-0.009602907,-0.010302198,-0.008741547,0.009951117,0.006899951,0.002469136,-0.006880601,-0.007560937
28-Oct-16,0.039031225,-0.024620341,-0.006638714,0.012337112,-0.003826955,-0.003197926,-0.039973895,-0.016933498,-0.010479739,-0.011987214
31-Oct-16,0.008957812,-0.017221043,-0.001582835,-0.002285018,0.000835143,0.005722709,-0.002039429,-0.006890072,-0.013767945,-0.008735508
1-Nov-16,0.016515513,0.003960634,-0.018055311,-0.011374914,-0.00200267,-0.005603931,0.009877384,-0.020182908,0.010798234,-0.004134254
2-Nov-16,-0.010236664,-0.002390915,0.000896941,-0.017992278,-0.006187291,-0.004161609,-0.007757167,-0.014161571,-0.024611934,-0.013710603
3-Nov-16,0,0.002516477,-0.015772023,-0.056381222,-0.003701834,0.001480063,-0.006968049,-0.024159321,-0.032191698,-0.021654852
4-Nov-16,-0.005788025,-0.001075783,-0.009013931,0.00625,-0.00844452,0.000695471,0.006674653,0.003680161,0.028260598,0.013303142
7-Nov-16,0.019755679,0.022496111,0.014424844,0.011594203,0.029126214,0.013465381,0.020911255,0.012666667,0.036483035,0.025642458
8-Nov-16,0.004117922,-0.001638385,0.005887148,0.016946377,0.000827541,0.003343048,0.007660283,-0.012508229,0.005455825,0.001252792
9-Nov-16,0.003262187,0.011018638,-0.001620746,-0.008372243,-0.004961138,0.027851346,0.060651132,0.070666667,0.103506622,0.034816668
10-Nov-16,0.001393534,0.009275362,-0.027867965,-0.019321318,-0.024430779,-0.006400133,0.012153319,0.042652553,0.020039127,0.014351803
11-Nov-16,-0.010668893,-0.015852958,0.005937471,-0.014735099,0.005451448,-0.008950979,-0.01554803,-0.026873694,0.005442671,-0.007981342
14-Nov-16,-0.000468867,-0.004552352,-0.025085308,-0.03310368,-0.015249068,-0.015784587,-0.006567631,-0.006443694,0.022219931,0.001410585
15-Nov-16,0.022234731,0.018058161,0.01324378,0.018421967,0.012904336,-0.002401372,0.001888871,-0.004632489,-0.005345975,0.001356427
16-Nov-16,-0.005598385,-0.012324349,0.026888246,-0.007337884,0.013249533,0.000343879,-0.016025137,-0.008377288,-0.020028395,-0.003230176
17-Nov-16,-0.00212275,-0.00606414,-0.000363669,0.012463469,0.016596815,0.001804744,0.001117675,-0.007196496,0.0104517,0.009565126
18-Nov-16,0.009988901,0.000586648,0.001000455,-0.006537057,-0.004782322,-0.010380029,-0.01323764,-0.007878979,-0.012084592,-0.010872379
21-Nov-16,0.008974359,0.014188555,0.015173542,0.040591352,0.008450704,-0.003120666,0.006950057,0.002858958,0.003524594,0.000785135
22-Nov-16,0.003993465,0.002196786,0.00062651,-0.002463661,0.0042721,-0.019652174,-0.009630819,-0.007602154,-0.019988637,-0.018723849
23-Nov-16,0.003435184,0.002768805,-0.00509839,-0.005186466,-0.011780105,0.002927089,-0.000972447,0.002872646,0.015758406,0.011779128
25-Nov-16,0,0.002300966,0.005034613,-0.003806687,0.002152318,0.009374724,0.009247242,0.008593253,0.00710839,0.002317863
28-Nov-16,-0.004504505,-0.007460973,-0.001967976,0.000249211,0.001321659,-0.008761938,-0.00659058,-0.004733354,-0.026738794,-0.015609397
29-Nov-16,-0.010497738,-0.006591882,-0.000985928,0.003820281,0.007919485,-0.005745602,0.00631068,0.012048193,0.002435022,0.000854245
30-Nov-16,0.02030364,0.016298021,-0.008433519,-0.020269711,-0.013586512,-0.010490754,-0.016079756,0.006892231,-0.026614564,-0.01210925
1-Dec-16,0.01550735,-0.000687285,-0.00931958,-0.028035805,-0.017590441,0.000718778,-0.007027292,-0.021157436,-0.019692942,-0.0153896
2-Dec-16,-0.002559802,-0.002292526,0.003744634,0.002606429,0.000844595,0.005207398,0.006089533,0.005403687,0.008854455,0.004058353
5-Dec-16,0.002212389,0.005055147,-0.007188353,0.017590988,0.016371308,-0.000178635,-0.01439555,-0.001264622,0.012232584,0.007920035
6-Dec-16,-0.004326711,0.000914495,0.007698653,-0.001021885,-0.00448356,0.001072003,0.000497925,-0.000949668,0.013276974,0.004443722
7-Dec-16,0.0148989,0.005824577,0.009822647,0.00545563,0.023686405,-0.008566839,-0.003649635,-0.011723701,-0.03134025,-0.011653628
8-Dec-16,0.006378889,0.002838651,0.009817167,0.008139042,-0.005866058,-0.000990099,0.000999001,-0.00801539,0.00193242,0.003439052
9-Dec-16,0.005557003,0.007699275,0.016321798,0.006475486,0.015735125,0.011442472,0.018463074,0.024563672,0.00049595,0.009030573
12-Dec-16,0.011570676,0.022247191,-0.005704256,-0.015959225,0.003227368,0.027614466,0.008002613,0.022082019,-0.01878167,-0.003989648
13-Dec-16,0.002304738,0.017586283,0.016681377,0.021567462,0.013028792,0.004594313,0.001134154,0.013271605,-0.002638226,0.002868897
14-Dec-16,-0.012433998,-0.021602938,0,-0.000831186,-0.004763417,-0.007765985,0.000161838,-0.000304599,-0.002082395,-0.00377827
15-Dec-16,0.009399793,0.003422389,0.005469225,0.002994759,-0.001595405,0.007826768,0.009223301,-0.002132846,0.011448875,0.007097578
16-Dec-16,0.008799658,0.00319067,0.001295113,-0.005805756,-0.004474273,-0.0000863,0.001122334,0.002748092,0.004070481,0.002367119
19-Dec-16,-0.003641599,-0.008335161,0.005777356,-0.005255694,0.021187801,0.001208146,-0.020819987,-0.000304507,-0.013161548,-0.006762559
20-Dec-16,0.002549936,0.000110595,0.00265775,-0.001257967,-0.001257466,-0.003102913,-0.010467779,0.000609199,0.009735509,0.000432292
21-Dec-16,-0.000339127,-0.001658742,0.000940573,-0.000419851,0,-0.003026111,-0.01768595,-0.01369863,-0.016552416,-0.006427568
22-Dec-16,0.007293699,0.006535224,-0.006577823,-0.013776882,0.000157381,0.001127396,0.002523978,-0.001851852,-0.007310439,0.00021745
23-Dec-16,-0.002946872,-0.001760757,0.001977814,-0.001107325,-0.004878049,0.004504505,-0.000335683,0.004329004,0.030770109,0.014185554
27-Dec-16,-0.001688904,0.000440966,0.006350841,0.006310224,0.000632511,-0.000431183,0.003861652,0.001539409,-0.011021267,0.000643087
28-Dec-16,-0.00262223,-0.004958678,-0.004264029,-0.009236505,-0.004582807,-0.00698818,-0.008697107,-0.005533354,-0.012320099,-0.007444302
29-Dec-16,-0.000763294,0.00055371,-0.000256937,-0.004875128,-0.001428798,0.003388358,-0.003880547,0.004327666,-0.006406985,0.000269789
30-Dec-16,-0.001018503,-0.000996126,-0.007795768,-0.011173184,-0.012082671,-0.002424452,-0.002879404,-0.000307787,-0.006790687,-0.003074765
