year mon tb3m cpiaucsl
2000 1 5.32 169.3
2000 2 5.55 170
2000 3 5.69 171
2000 4 5.66 170.9
2000 5 5.79 171.2
2000 6 5.69 172.2
2000 7 5.96 172.7
2000 8 6.09 172.7
2000 9 6 173.6
2000 10 6.11 173.9
2000 11 6.17 174.2
2000 12 5.77 174.6
2001 1 5.15 175.6
2001 2 4.88 176
2001 3 4.42 176.1
2001 4 3.87 176.4
2001 5 3.62 177.3
2001 6 3.49 177.7
2001 7 3.51 177.4
2001 8 3.36 177.4
2001 9 2.64 178.1
2001 10 2.16 177.6
2001 11 1.87 177.5
2001 12 1.69 177.4
2002 1 1.65 177.7
2002 2 1.73 178
2002 3 1.79 178.5
2002 4 1.72 179.3
2002 5 1.73 179.5
2002 6 1.7 179.6
2002 7 1.68 180
2002 8 1.62 180.5
2002 9 1.63 180.8
2002 10 1.58 181.2
2002 11 1.23 181.5
2002 12 1.19 181.8
2003 1 1.17 182.6
2003 2 1.17 183.6
2003 3 1.13 183.9
2003 4 1.13 183.2
2003 5 1.07 182.9
2003 6 0.92 183.1
2003 7 0.9 183.7
2003 8 0.95 184.5
2003 9 0.94 185.1
2003 10 0.92 184.9
2003 11 0.93 185
2003 12 0.9 185.5
2004 1 0.88 186.3
2004 2 0.93 186.7
2004 3 0.94 187.1
2004 4 0.94 187.4
2004 5 1.02 188.2
2004 6 1.27 188.9
2004 7 1.33 189.1
2004 8 1.48 189.2
2004 9 1.65 189.8
2004 10 1.76 190.8
2004 11 2.07 191.7
2004 12 2.19 191.7
2005 1 2.33 191.6
2005 2 2.54 192.4
2005 3 2.74 193.1
2005 4 2.78 193.7
2005 5 2.84 193.6
2005 6 2.97 193.7
2005 7 3.22 194.9
2005 8 3.44 196.1
2005 9 3.42 198.8
2005 10 3.71 199.1
2005 11 3.88 198.1
2005 12 3.89 198.1
2006 1 4.24 199.3
2006 2 4.43 199.4
2006 3 4.51 199.7
2006 4 4.6 200.7
2006 5 4.72 201.3
2006 6 4.79 201.8
2006 7 4.95 202.9
2006 8 4.96 203.8
2006 9 4.81 202.8
2006 10 4.92 201.9
2006 11 4.94 202
2006 12 4.85 203.1
2007 1 4.98 203.437
2007 2 5.03 204.226
2007 3 4.94 205.288
2007 4 4.87 205.904
2007 5 4.73 206.755
2007 6 4.61 207.234
2007 7 4.82 207.603
2007 8 4.2 207.667
2007 9 3.89 208.547
2007 10 3.9 209.19
2007 11 3.27 210.834
2007 12 3 211.445
2008 1 2.75 212.199
2008 2 2.12 212.623
2008 3 1.26 213.441
2008 4 1.29 213.971
2008 5 1.73 215.206
2008 6 1.86 217.47
2008 7 1.63 219.09
2008 8 1.72 218.749
2008 9 1.13 218.872
2008 10 0.67 216.966
2008 11 0.19 213.074
2008 12 0.03 211.401
2009 1 0.13 211.962
2009 2 0.3 212.823
2009 3 0.21 212.561
2009 4 0.16 212.705
2009 5 0.18 212.977
2009 6 0.18 214.744
2009 7 0.18 214.726
2009 8 0.17 215.479
2009 9 0.12 215.883
2009 10 0.07 216.476
2009 11 0.05 217.113
2009 12 0.05 217.33
2010 1 0.06 217.469
2010 2 0.11 217.397
2010 3 0.15 217.44
2010 4 0.16 217.373
2010 5 0.16 217.182
2010 6 0.12 217.206
2010 7 0.16 217.649
2010 8 0.16 218.062
2010 9 0.15 218.364
2010 10 0.13 219.02
2010 11 0.14 219.441
2010 12 0.14 220.414
2011 1 0.15 221.036
2011 2 0.13 222.008
2011 3 0.1 223.193
2011 4 0.06 224.03
2011 5 0.04 224.634
2011 6 0.04 224.837
2011 7 0.04 225.515
2011 8 0.02 226.266
2011 9 0.01 226.87
2011 10 0.02 226.804
2011 11 0.01 227.014
2011 12 0.01 227.033
2012 1 0.03 227.505
2012 2 0.09 228.433
2012 3 0.08 229.098
2012 4 0.08 229.177
2012 5 0.09 228.527
2012 6 0.09 228.618
2012 7 0.1 228.723
2012 8 0.1 230.102
2012 9 0.11 231.414
2012 10 0.1 231.751
2012 11 0.09 231.025
2012 12 0.07 230.979
