 .04    -.21     .02    .03    -.24    -.14    .07    -.08    -.07    -.17    -.08   -.38
-.11    -.12    -.10   -.10    -.07     .00   -.02    -.21    -.09    -.09    -.10   -.08
-.24    -.39    -.10    .08    -.27    -.21   -.03    -.12    -.13    -.18    -.09   -.01
-.27    -.27    -.20   -.28    -.21    -.24   -.42    -.29    -.11    -.05     .11    .13
-.16    -.34    -.05   -.25    -.19    -.13    .02    -.11    -.07    -.15     .05   -.22
-.42    -.27    -.13   -.09    -.11    -.17   -.19     .10    -.05    -.06     .12    .32
 .36     .31     .35    .14    -.10     .15    .04     .17     .12     .15     .14   -.05
-.01     .05    -.16   -.03     .07    -.08    .14     .01     .01     .21     .18   -.08
 .24     .18    -.05    .14    -.08    -.26    .08     .01     .05     .01     .21    .09
-.14    -.25    -.20   -.18    -.28    -.22   -.16    -.18    -.13     .18     .07   -.41
-.02    -.14     .08    .05     .10     .03    .13     .01    -.06    -.07     .27    .12
 .13    -.14     .12   -.01     .04     .19    .23     .24     .03     .21     .11    .26
 .32     .01    -.01    .30    -.01    -.11    .03    -.10     .07     .25     .09   -.05
-.20    -.02    -.11   -.08    -.04    -.14   -.14    -.12    -.13    -.03    -.32   -.34
-.12    -.05    -.26   -.14     .18     .07    .09     .11     .09     .13     .32    .28
-.07     .33     .18   -.09    -.19    -.01   -.01    -.01    -.20     .11    -.22    .00
-.15    -.24    -.13    .14    -.06     .08    .26     .09     .03     .10     .19    .17
 .00     .25    -.02    .06     .13     .17    .13     .20     .22     .28     .37    .13
 .04     .21     .20    .17     .11     .03    .09     .04     .14     .37     .20   -.07
 .00    -.12    -.25    .00     .07     .15    .02    -.06    -.06     .01     .01    .36
-.08     .06     .03    .08     .18     .22    .29     .17     .21     .17     .12    .39
 .16     .39     .08    .16     .19     .20    .22     .20    -.11     .13     .04    .19
  .36     .11     .10    .17     .17     .14    .06     .06     .13     .15     .24    .20
-.08     .07    -.07    .01     .04    -.12    .03    -.19    -.01     .29     .07    .23
 .34     .24     .16    .07     .00     .04    .05     .12     .24     .38     .23    .03
 .12     .05     .05    .27    -.13    -.05   -.06     .28     .11     .16     .13   -.15
 .04     .08     .09    .09     .08    -.02    .04     .00     .08     .01     .12   -.04
 .05     .10     .23    .27     .14     .16    .12     .11     .12     .32     .26   -.01
 .24     .03    -.02    .01     .21     .16    .03     .02     .11     .10     .02   -.13
 .05    -.12     .11   -.03     .00     .04    .05     .02     .04     .11     .00    .02
