year mon day  dspi
2001 05 01   7572.1
2001 06 01   7590.5
2001 07 01   7706.0
2001 08 01   7843.9
2001 09 01   7763.3
2001 10 01   7663.5
2001 11 01   7683.5
2001 12 01   7706.7
2002 01 01   7887.2
2002 02 01   7908.1
2002 03 01   7934.4
2002 04 01   7991.9
2002 05 01   8014.9
2002 06 01   8039.5
2002 07 01   8023.8
2002 08 01   8024.8
2002 09 01   8036.2
2002 10 01   8059.9
2002 11 01   8080.9
2002 12 01   8114.6
2003 01 01   8134.0
2003 02 01   8166.3
2003 03 01   8219.3
2003 04 01   8255.7
2003 05 01   8312.0
2003 06 01   8341.2
2003 07 01   8442.8
2003 08 01   8521.8
2003 09 01   8455.9
2003 10 01   8508.5
2003 11 01   8571.6
2003 12 01   8604.4
2004 01 01   8634.3
2004 02 01   8665.6
2004 03 01   8711.5
2004 04 01   8764.1
2004 05 01   8834.6
2004 06 01   8863.5
2004 07 01   8894.3
2004 08 01   8946.4
2004 09 01   8962.4
2004 10 01   9015.3
2004 11 01   9026.5
2004 12 01   9354.6
2005 01 01   9050.4
2005 02 01   9075.2
2005 03 01   9097.3
2005 04 01   9147.9
2005 05 01   9192.0
2005 06 01   9243.3
2005 07 01   9306.4
2005 08 01   9354.3
2005 09 01   9399.7
2005 10 01   9444.1
2005 11 01   9486.2
2005 12 01   9530.9
2006 01 01   9651.8
2006 02 01   9708.5
2006 03 01   9755.3
2006 04 01   9821.7
2006 05 01   9853.2
2006 06 01   9916.4
2006 07 01   9939.3
2006 08 01   9985.8
2006 09 01  10022.5
2006 10 01  10061.1
2006 11 01  10097.4
2006 12 01  10175.2
2007 01 01  10198.2
2007 02 01  10252.9
2007 03 01  10315.3
2007 04 01  10340.2
2007 05 01  10363.9
2007 06 01  10371.7
2007 07 01  10413.6
2007 08 01  10436.9
2007 09 01  10520.2
2007 10 01  10558.5
2007 11 01  10614.7
2007 12 01  10697.0
2008 01 01  10822.3
2008 02 01  10880.7
2008 03 01  10935.7
2008 04 01  10913.2
2008 05 01  11482.6
2008 06 01  11264.1
2008 07 01  11147.5
2008 08 01  11047.4
2008 09 01  11048.7
2008 10 01  11006.6
2008 11 01  10929.8
2008 12 01  10815.4
2009 01 01  10847.0
2009 02 01  10746.3
2009 03 01  10705.7
2009 04 01  10763.0
2009 05 01  10923.9
2009 06 01  10784.3
2009 07 01  10743.5
2009 08 01  10747.1
2009 09 01  10770.0
2009 10 01  10753.3
2009 11 01  10805.9
2009 12 01  10875.9
2010 01 01  10958.0
